model,record_count,avg_prediction_time_s,std_prediction_time_s,records_per_second,avg_opinionated_ratio
combined_inference,500,0.044708108400001834,0.008184671365256592,11183.653656882954,1.0
combined_inference,1000,0.07282988360000076,0.0038325934381071938,13730.627464575402,1.0
combined_inference,2000,0.145045591600001,0.005328745489720357,13788.767917300744,1.0
combined_inference,5000,0.37399222500000207,0.02104621416272512,13369.261887730347,1.0
combined_inference,8000,0.579947199800003,0.03808932928346441,13794.359215388626,1.0
