id,author,text,url,query
2030617371082199438,Andrew Betson,"Just go and get one. The tesla long range i own has been brilliant i dont do long long journeys but is stopping for a coffee such a bad thing?
I would 100% get another electric car, im intrigued by what byd can offer.",https://x.com/summitscaffold/status/2030617371082199438,"""electric car"" lang:en filter:replies"
2030615074042233234,WandererNo7,"So out of touch with what made F1 great

Gome from the genius of Ayrton Senna & those before him & with him in manual cars to an electric car with boosts?

It's absolutely shite, all drivers think so but nooooo F1 suits think this is great?

God help the sport, F1's finished!",https://x.com/WandererWWFC/status/2030615074042233234,"""electric car"" lang:en filter:replies"
2030612781394014554,Hani Yea,"Idk 
@YongYea
 
@inyongyea
 feels like someone permanently living near BSD city/Bekasi/Jaksel avoiding ganjil/genap license plate and bought an electric car bc his parents work in DPRD kinda vibe",https://x.com/Erchino_X/status/2030612781394014554,"""electric car"" lang:en filter:replies"
2030611363236544692,Blueskies123,Or you can buy an electric car,https://x.com/wallywilliams/status/2030611363236544692,"""electric car"" lang:en filter:replies"
2030609026262704355,Dan-Marius Sabău,"Not everyone has an electric car, and the prices for gas growing up means food prices also going up, for example. Meantime, the Romanian word tesla is used for a carpenter tool.",https://x.com/danmariuss/status/2030609026262704355,"""electric car"" lang:en filter:replies"
2030608451022266446,Ghost In The Machine,Well he's definitely not driving an electric car if he's having to put gas in it.,https://x.com/xGhostCodex/status/2030608451022266446,"""electric car"" lang:en filter:replies"
2030608435411128787,Freedom of speech,"Even in F1, DEI and woke are to be introduced precisely to kill the sport. Sustainable gasoline and best electric car will win",https://x.com/NotaBenelll/status/2030608435411128787,"""electric car"" lang:en filter:replies"
2030608201725448320,BSaphiraJul1989  Douglas MacRae,"Reject the electric car mandate.

Reject the climate change hoax.

Reject globalism.

Reject communism.",https://x.com/BJul1989/status/2030608201725448320,"""electric car"" lang:en filter:replies"
2030607096803217709,mike,Time to buy electric car,https://x.com/mikewigan/status/2030607096803217709,"""electric car"" lang:en filter:replies"
2030606958726693024,Matt,F1 is gone. Electric car racing is now the new sport. Its awful,https://x.com/mofunky77/status/2030606958726693024,"""electric car"" lang:en filter:replies"
2030606382517346453,Matt,Its no longer F1. Its not the same. Its an electric car race,https://x.com/mofunky77/status/2030606382517346453,"""electric car"" lang:en filter:replies"
2030604675448295684,Topbloke Golf,"I love my electric car but I do get that they’re not  suited  for quite a few people , but yeah if you can charge at home it’s a bit of a no brainer . I have a 7 seater top of the range kodiaq but  prefer to driver my shitty leaf .",https://x.com/Topblokegolf/status/2030604675448295684,"""electric car"" lang:en filter:replies"
2030603296839454948,Hoa Ng,"Well, Gas car is traditional car whilst EV is electric car doesn’t use Fuel",https://x.com/ng_hoa25865/status/2030603296839454948,"""electric car"" lang:en filter:replies"
2030596558513651821,ConvenientlyTimedMaruzensky,"It’s like an electric car, it a fire that keeps burning even after being put out",https://x.com/ConvenientMaru/status/2030596558513651821,"""electric car"" lang:en filter:replies"
2030586876663304458,"Kate, Florence and James","The days when you’d never see another electric car on the road, how times have changed.",https://x.com/KateFantom/status/2030586876663304458,"""electric car"" lang:en filter:replies"
2030586281877447055,Twatty McTwatface,"I'd suggest you ignore this grifter and go out and buy an electric car and some solar panels, we haven't got anything to drill or drill it with",https://x.com/TwattyMcTwatfa3/status/2030586281877447055,"""electric car"" lang:en filter:replies"
2030585922706624853,Always an Opportunity,At least thats their climate change arguments out the window. Cant wait to see the electric car nuts at the water cooler,https://x.com/CQ4038432188535/status/2030585922706624853,"""electric car"" lang:en filter:replies"
2030584169588539546,أحمد الغرير,"Wow, exciting new vision for transportation! ��� Kaiser-Wave 4 from Shane Electric Car Concept looks promising. Let's keep pushing the boundaries of tech for good!",https://x.com/AhmedGhuraqu/status/2030584169588539546,"""electric car"" lang:en filter:replies"
2030582906746527860,a,"because of stupid EV machine. most of the f1 fans do not understand what was happening inside the battle. they've already have 100% sustainable fuel and acheive Net Zero, why the FOM still want to electric car?",https://x.com/a88497578/status/2030582906746527860,"""electric car"" lang:en filter:replies"
2030579611541590035,Ed,The Met Office were quoting non-existent weather stations. Norway has an abundance of hydro power. 'electric car user' on a bio'? FFS!,https://x.com/Ed4079643028221/status/2030579611541590035,"""electric car"" lang:en filter:replies"
2030578246270460198,Bill McDonald,This is their way of getting you into an electric car.,https://x.com/King_Tatteous/status/2030578246270460198,"""electric car"" lang:en filter:replies"
2030574852667801638,marium,"1. Charging Your Electric Car:

Already own an electric vehicle or are you considering the leap?

Look up 'electric car charging locations' to discover convenient places to power up.",https://x.com/code_bykuti/status/2030574852667801638,"""electric car"" lang:en filter:replies"
2030566037767229481,Snake,"I like driving. I have zero interest in a self driving car. I don’t even need or want a clock in my car, let alone enough computer power to land on the moon. Offer me the best electric car ever built or a ‘69 Camaro and I’m taking the Camaro.",https://x.com/Snake1633691791/status/2030566037767229481,"""electric car"" lang:en filter:replies"
2030560403353375195,Gaz Eykhof,If you were a young man you could buy an Electric Car,https://x.com/eykhof/status/2030560403353375195,"""electric car"" lang:en filter:replies"
