Model,Macro_F1,Weighted_F1,ROC_AUC,Accuracy,Inference_Time_s
Base (TF-IDF + LR),0.5129186268823441,0.6533818619160502,0.7305600942534405,0.6702702702702703,0.0045969486236572266
+ Ensemble,0.32916991933385376,0.5708302213220245,0.741785970378063,0.6810810810810811,0.010049104690551758
+ Lexicon,0.48674181427804614,0.6405074639857248,0.7048703625367078,0.6756756756756757,0.006755828857421875
+ Undersample,0.5200691457964416,0.6386610237862451,0.7418688809720632,0.6270270270270271,0.004513740539550781
+ Calibration,0.4973845598845599,0.6113665613665613,0.7305600942534405,0.5891891891891892,0.004830121994018555
Full Hybrid,0.45322514798938557,0.5157352576091094,0.7418688809720632,0.4864864864864865,0.004970073699951172
